KIC Teff Teff_err logg logg_err feh feh_err NoCorM NoCorM_err NoCorR NoCorR_err RGBcorM RGBcorM_err RGBcorR RGBcorR_err ClcorM ClcorM_err ClcorR ClcorR_err Phase RA DEC
 7905712 5016  80 3.019 0.007 -0.09 0.15 2.15 0.12  7.51 0.15 2.10 0.12  7.42 0.15 2.22 0.12  7.63  0.15 1 296.5141439411110 +43.6010401513922
 7905926 4788 147 2.509 0.012 -0.26 0.30 1.56 0.13 11.49 0.33 1.39 0.12 10.88 0.31 1.56 0.13 11.50  0.33 1 296.5705607991920 +43.6778613380372
 7906055 4844 149 2.527 0.011 -0.08 0.30 1.54 0.13 11.21 0.33 1.43 0.12 10.81 0.32 1.56 0.13 11.29  0.33 2 296.6101816525021 +43.6066161790775
 7906186 4949  80 2.666 0.013  0.13 0.15 2.46 0.24 12.06 0.42 2.46 0.24 12.05 0.42 2.52 0.24 12.21  0.43 2 296.6474938118102 +43.6568987760404
 7906607 4993 153 2.402 0.014 -0.08 0.30 1.01 0.10 10.47 0.38 1.02 0.11 10.54 0.38 1.01 0.10 10.48  0.38 2 296.7645871763964 +43.6243419971638
 7907191 4825  80 2.617 0.026  0.20 0.15 2.14 0.40 11.91 0.78 2.05 0.39 11.66 0.76 2.19 0.41 12.04  0.79 2 296.9236854216202 +43.6035321321479
 7907249 4770 148 2.530 0.010 -0.34 0.30 1.51 0.12 11.04 0.34 1.34 0.11 10.40 0.31 1.49 0.12 10.99  0.33 2 296.9410012171588 +43.6710327700605
 7907664 4829 143 2.474 0.012 -0.10 0.30 1.43 0.14 11.47 0.43 1.32 0.13 11.03 0.41 1.45 0.14 11.54  0.43 2 297.0466737437312 +43.6177296307516
 7908059 5109 171 2.449 0.012 -0.14 0.30 1.65 0.17 12.70 0.49 1.63 0.16 12.62 0.48 1.69 0.17 12.84  0.49 2 297.1393359943450 +43.6582736427856
 7908109 4711  80 2.627 0.007 -0.71 0.15 1.07 0.06  8.32 0.16 0.90 0.05  7.63 0.15 1.01 0.05  8.10  0.16 1 297.1494419979973 +43.6631048867636
 7908718 4901 154 2.368 0.016 -0.16 0.30 0.68 0.10  8.91 0.52 0.72 0.10  9.20 0.55 0.69 0.10  9.03  0.53 2 297.2998917810983 +43.6617327386097
 7909320 4404  80 2.107 0.013 -0.30 0.15 1.20 0.11 16.06 0.53 1.04 0.10 14.90 0.49 1.16 0.11 15.79  0.52 1 297.4552424674927 +43.6762060430372
 7909446 4596 134 2.374 0.013  0.07 0.30 1.84 0.17 14.62 0.46 1.67 0.15 13.90 0.44 1.85 0.17 14.65  0.46 1 297.4806507714950 +43.6193909383175
 7910890 3930  80 1.565 0.015  0.00 0.30 0.77 0.09 24.04 1.08 0.62 0.07 21.46 0.94 0.76 0.09 23.89  1.08 0 297.8294754857726 +43.6184270992823
 7910990 4734 146 2.540 0.010 -0.47 0.30 1.37 0.10 10.43 0.29 1.20 0.09  9.74 0.26 1.34 0.10 10.30  0.28 2 297.8517600502550 +43.6689049883908
 7915232 4462 156 2.000 0.014 -0.48 0.30 1.40 0.15 19.57 0.79 1.22 0.13 18.29 0.73 1.35 0.15 19.21  0.77 0 298.8992690795742 +43.6151845700467
 7915833 4722 137 2.280 0.036  0.19 0.30 2.29 0.75 18.14 2.46 2.17 0.71 17.66 2.38 2.33 0.77 18.33  2.50 0 299.0504522329770 +43.6582217673932
 7916800 5022 156 3.193 0.008 -0.62 0.30 1.17 0.07  4.54 0.10 1.10 0.07  4.39 0.10 1.20 0.07  4.60  0.10 1 299.2712856052583 +43.6757522147142
 7917701 4590  80 2.452 0.015  0.42 0.15 1.59 0.21 12.40 0.68 1.47 0.20 11.94 0.65 1.62 0.22 12.51  0.69 2 299.4850593531716 +43.6495638305314
 7917764 5151 185 2.434 0.011 -1.01 0.30 0.57 0.09  7.60 0.53 0.59 0.09  7.74 0.55 0.66 0.10  8.15  0.59 2 299.4992269993138 +43.6608060340292
 7917803 4944 152 2.499 0.012  0.10 0.30 1.47 0.13 11.30 0.36 1.43 0.13 11.15 0.36 1.49 0.14 11.38  0.37 2 299.5075071550302 +43.6430916310934
 7918880 5005 155 2.606 0.019  0.01 0.30 2.17 0.36 12.14 0.81 2.14 0.35 12.05 0.80 2.23 0.37 12.32  0.82 2 299.7595660639051 +43.6940392368635
 7919558 4692  80 2.496 0.012  0.07 0.15 1.90 0.16 12.87 0.38 1.74 0.15 12.32 0.36 1.91 0.16 12.94  0.38 1 299.9140606535540 +43.6661398738719
 7935931 4587  80 2.387 0.018  0.16 0.15 1.04 0.13 10.84 0.48 0.94 0.12 10.30 0.45 1.04 0.13 10.83  0.48 2 280.1643525369598 +43.7578313950470
 7935960 4946 145 2.619 0.009 -0.15 0.30 1.37 0.09  9.49 0.22 1.30 0.09  9.27 0.22 1.39 0.09  9.57  0.23 1 280.1813528761263 +43.7399917619603
 7936033 4307  80 2.039 0.011 -0.22 0.15 1.15 0.09 16.99 0.52 0.99 0.08 15.73 0.47 1.11 0.09 16.69  0.51 1 280.2327310814852 +43.7856780272154
 7936353 4771 167 2.550 0.016 -0.02 0.30 1.16 0.14  9.49 0.44 1.08 0.13  9.15 0.42 1.17 0.15  9.51  0.44 2 280.4422016593021 +43.7884811356469
 7936358 5042 154 3.073 0.008  0.12 0.30 1.39 0.08  5.67 0.12 1.40 0.08  5.70 0.12 1.40 0.09  5.71  0.12 1 280.4451370971321 +43.7781383694705
 7936400 4899 145 2.724 0.008 -0.01 0.30 1.41 0.09  8.54 0.19 1.34 0.08  8.34 0.19 1.43 0.09  8.59  0.19 1 280.4732080119675 +43.7448538572081
 7936407 4961  80 2.860 0.007  0.18 0.15 2.11 0.12  8.93 0.19 2.07 0.11  8.86 0.19 2.16 0.12  9.04  0.19 2 280.4770092612971 +43.7199524895706
 7937449 4834  80 3.026 0.006  0.14 0.15 1.27 0.06  5.73 0.10 1.22 0.06  5.62 0.10 1.28 0.06  5.76  0.10 1 281.2282529983597 +43.7722615559975
 7937828 4888  80 3.015 0.007 -0.10 0.15 1.39 0.08  6.06 0.12 1.31 0.07  5.89 0.12 1.41 0.08  6.11  0.12 1 281.5151787602117 +43.7134177272316
 7938029 4354  80 2.210 0.010  0.02 0.15 1.33 0.10 15.02 0.41 1.16 0.09 14.00 0.38 1.31 0.10 14.87  0.41 1 281.6559858577153 +43.7732569511497
 7939118 4884  80 2.422 0.014 -0.33 0.15 1.34 0.17 11.78 0.63 1.23 0.16 11.28 0.59 1.36 0.18 11.87  0.63 2 282.3232760367969 +43.7474570473060
 7939195 5084 156 2.351 0.021 -0.05 0.30 1.03 0.21 11.22 0.97 1.07 0.22 11.41 0.99 1.03 0.21 11.24  0.97 2 282.3611976003217 +43.7170985449894
 7939758 5230 163 2.130 0.014 -1.11 0.30 1.42 0.16 16.98 0.75 1.38 0.15 16.77 0.74 1.49 0.17 17.41  0.77 0 282.6707617140575 +43.7549455433256
 7940675 4972  80 2.924 0.006  0.21 0.15 1.95 0.11  7.98 0.18 1.91 0.11  7.90 0.18 1.99 0.11  8.06  0.18 2 283.1176869141243 +43.7343457360308
 7941121 4876 148 2.869 0.009  0.31 0.30 1.38 0.09  7.14 0.16 1.35 0.09  7.08 0.16 1.38 0.09  7.16  0.16 1 283.3259669827987 +43.7937051225392
 7941127 5180 156 2.416 0.023 -0.40 0.30 1.79 0.29 13.70 0.77 1.75 0.28 13.58 0.76 1.84 0.30 13.93  0.78 2 283.3303946154691 +43.7434822729664
 7941429 5354 156 3.257 0.008 -0.23 0.30 1.19 0.07  4.25 0.10 1.26 0.08  4.37 0.10 1.20 0.07  4.27  0.10 1 283.4830657900882 +43.7828114405906
 7941510 4407  80 1.735 0.016 -0.35 0.15 1.24 0.32 25.00 3.03 1.07 0.27 23.23 2.72 1.20 0.30 24.56  2.95 1 283.5110091459912 +43.7541107407533
 7941728 4762  80 2.722 0.007 -0.47 0.15 1.17 0.06  7.79 0.15 1.02 0.05  7.27 0.14 1.14 0.06  7.71  0.15 1 283.6204059456375 +43.7560581292486
 7943692 4283 100 1.852 0.032 -0.08 0.30 1.29 0.30 22.32 1.82 1.12 0.26 20.79 1.68 1.26 0.29 22.01  1.79 0 284.6440577808380 +43.7045184119412
 7943876 4619 100 2.327 0.025 -0.20 0.30 0.94 0.18 11.00 0.78 0.81 0.16 10.25 0.72 0.92 0.18 10.91  0.77 2 284.7237832463329 +43.7425145738942
 7944038 4618 100 2.204 0.011 -0.39 0.30 2.29 0.19 19.82 0.60 2.11 0.18 19.01 0.57 2.26 0.19 19.68  0.59 1 284.8060016303020 +43.7693501453084
 7944142 5046 176 2.792 0.009  0.00 0.30 1.61 0.11  8.44 0.21 1.59 0.11  8.38 0.20 1.63 0.11  8.50  0.21 1 284.8695551982320 +43.7331505783056
 7944193 4715 100 2.347 0.010 -0.65 0.30 1.14 0.08 11.85 0.32 0.97 0.07 10.93 0.29 1.09 0.08 11.59  0.31 2 284.8926994634631 +43.7380859665078
 7946636 4753 100 2.582 0.008 -0.05 0.30 1.29 0.07  9.61 0.20 1.18 0.07  9.20 0.19 1.30 0.07  9.64  0.20 1 286.2397460163203 +43.7378007170691
 7946762 4707 100 2.666 0.008  0.47 0.30 1.51 0.09  9.46 0.21 1.41 0.09  9.13 0.20 1.51 0.09  9.45  0.21 1 286.3066728094120 +43.7048465889991
 7946809 4488 100 1.960 0.017 -0.34 0.30 1.27 0.16 19.52 0.88 1.10 0.14 18.15 0.81 1.23 0.16 19.22  0.86 1 286.3275244096767 +43.7685635914069
 7947419 5049 154 2.654 0.009 -0.07 0.30 1.33 0.08  9.00 0.20 1.33 0.08  8.99 0.20 1.35 0.09  9.06  0.21 1 286.6586908121271 +43.7961311000175
 7947478 5288 157 2.397 0.021 -0.32 0.30 1.07 0.20 10.86 0.83 1.12 0.21 11.10 0.86 1.09 0.20 10.93  0.84 2 286.6894688170671 +43.7227681799572
 7947648 4555  80 2.300 0.008 -0.10 0.15 1.39 0.09 13.84 0.34 1.23 0.08 13.00 0.31 1.38 0.09 13.76  0.34 1 286.7741994918442 +43.7849330535787
 7948086 5166 100 2.551 0.010  0.04 0.15 1.66 0.12 11.32 0.31 1.70 0.12 11.43 0.31 1.69 0.12 11.43  0.31 2 287.0025735874095 +43.7864855854906
 7948193 5216 100 2.975 0.010 -0.00 0.15 2.00 0.14  7.63 0.19 2.07 0.15  7.76 0.20 2.06 0.15  7.74  0.20 0 287.0641747454675 +43.7333105456468
 7948260 5361 163 2.484 0.013 -0.38 0.30 1.86 0.20 12.93 0.53 1.94 0.21 13.21 0.54 1.92 0.20 13.15  0.54 2 287.1055623971133 +43.7336617878108
 7948268 5087 178 3.001 0.009 -0.08 0.30 0.95 0.06  5.09 0.12 0.99 0.07  5.20 0.12 0.95 0.06  5.09  0.12 1 287.1088982979554 +43.7213870585767
 7948629 5356 157 3.257 0.008 -0.12 0.30 1.58 0.10  4.90 0.11 1.66 0.10  5.02 0.11 1.61 0.10  4.95  0.11 1 287.2855428623975 +43.7412203529019
 7949127 4929 151 2.740 0.009  0.11 0.30 1.31 0.09  8.08 0.20 1.28 0.09  8.01 0.19 1.32 0.09  8.12  0.20 1 287.5371316168038 +43.7813194918883
 7949258 4709 100 2.429 0.012  0.34 0.15 1.13 0.10 10.73 0.33 1.07 0.09 10.48 0.32 1.12 0.10 10.71  0.33 2 287.6003914161281 +43.7685643782930
 7949585 5080 100 2.531 0.009 -0.13 0.15 1.49 0.10 10.96 0.26 1.47 0.10 10.88 0.26 1.52 0.10 11.07  0.27 2 287.7689186699516 +43.7133044678835
 7949599 4800 100 2.440 0.013  0.22 0.15 1.16 0.11 10.76 0.37 1.12 0.11 10.58 0.37 1.17 0.11 10.78  0.37 2 287.7756738028683 +43.7718762802936
 7949633 5169 161 2.388 0.030 -0.12 0.30 1.15 0.27 11.37 1.04 1.19 0.28 11.56 1.06 1.16 0.28 11.41  1.04 2 287.7899721120558 +43.7568190935489
 7949958 5253 167 2.476 0.012 -0.14 0.30 1.81 0.20 12.89 0.56 1.86 0.20 13.06 0.57 1.86 0.20 13.06  0.57 2 287.9448061916150 +43.7527419221047
 7950369 4399 127 1.843 0.021 -0.02 0.30 1.10 0.33 20.81 2.92 0.94 0.28 19.28 2.61 1.08 0.32 20.59  2.87 0 288.1296452071769 +43.7373778704575
 7950401 5007 154 2.392 0.017  0.12 0.30 1.04 0.13 10.73 0.47 1.07 0.13 10.91 0.48 1.04 0.13 10.75  0.47 2 288.1469981320329 +43.7501334192297
 7950550 4906 100 2.706 0.007 -0.20 0.15 1.61 0.09  9.32 0.19 1.50 0.08  9.00 0.18 1.65 0.09  9.42  0.19 1 288.2096843579773 +43.7425579721465
 7950668 4316 151 1.670 0.016 -0.18 0.30 0.90 0.15 23.00 1.61 0.75 0.12 21.00 1.43 0.88 0.14 22.66  1.58 0 288.2680220747637 +43.7422731381333
 7950821 5005 154 2.793 0.009 -0.02 0.30 1.49 0.09  8.10 0.18 1.45 0.09  8.01 0.18 1.51 0.09  8.16  0.18 1 288.3488946176336 +43.7190602956476
 7953235 4977 174 2.461 0.010 -0.28 0.30 1.69 0.20 12.65 0.68 1.59 0.19 12.28 0.65 1.73 0.21 12.81  0.69 2 289.4107790987250 +43.7003264372583
 7953365 4776 140 2.767 0.009 -0.07 0.30 1.40 0.09  8.10 0.19 1.28 0.08  7.75 0.18 1.41 0.09  8.14  0.19 1 289.4572618216504 +43.7245246980756
 7953459 4572 160 2.395 0.036  0.26 0.30 1.63 1.58 13.41 6.40 1.48 1.40 12.76 5.95 1.64 1.60 13.47  6.44 2 289.4940674583088 +43.7869252777692
 7953518 5007 152 2.719 0.009 -0.65 0.30 1.82 0.12  9.76 0.22 1.69 0.11  9.40 0.21 1.86 0.12  9.87  0.23 1 289.5281908302275 +43.7450771580972
 7953634 4807 143 2.640 0.010 -0.30 0.30 1.30 0.10  9.05 0.23 1.17 0.09  8.58 0.22 1.30 0.10  9.05  0.23 1 289.5781415134958 +43.7866684278978
 7954013 4990 155 2.421 0.011 -0.01 0.30 1.26 0.11 11.43 0.35 1.25 0.11 11.38 0.35 1.27 0.11 11.48  0.36 2 289.7238506867771 +43.7542486509803
 7954197 4814 139 2.420 0.012  0.12 0.30 1.23 0.12 11.32 0.41 1.18 0.11 11.07 0.40 1.24 0.12 11.37  0.41 2 289.7924118914341 +43.7657502405079
 7955078 5111 157 2.997 0.008 -0.11 0.30 1.52 0.09  6.47 0.14 1.51 0.09  6.46 0.14 1.55 0.10  6.53  0.15 1 290.1180042798436 +43.7419315169165
 7955392 4931  80 2.549 0.010 -0.13 0.15 2.38 0.17 13.58 0.36 2.31 0.17 13.37 0.35 2.44 0.18 13.75  0.36 1 290.2187812455196 +43.7335522025647
 7955597 5038 160 3.099 0.009  0.11 0.30 1.39 0.09  5.51 0.12 1.40 0.09  5.53 0.12 1.41 0.09  5.55  0.12 1 290.2931575041208 +43.7700447692776
 7955749 5062 158 2.434 0.019 -0.18 0.30 1.07 0.15 10.38 0.50 1.08 0.15 10.45 0.51 1.07 0.15 10.40  0.51 2 290.3368322649106 +43.7255232556153
 7955856 4712  80 2.429 0.011  0.10 0.15 1.27 0.10 11.37 0.33 1.17 0.09 10.92 0.32 1.28 0.10 11.42  0.33 2 290.3700008911440 +43.7640979872649
 7956524 4453  80 2.168 0.017  0.00 0.15 1.25 0.20 15.27 1.00 1.09 0.17 14.26 0.91 1.23 0.19 15.15  0.99 0 290.5868902641084 +43.7319833199636
 7956671 4700  80 2.537 0.008  0.01 0.15 1.69 0.10 11.60 0.25 1.54 0.09 11.07 0.24 1.71 0.10 11.67  0.25 1 290.6318926698474 +43.7779826934468
 7957166 4900  80 3.199 0.008  0.24 0.15 1.55 0.09  5.18 0.11 1.50 0.09  5.10 0.11 1.57 0.09  5.22  0.11 1 290.8056374771667 +43.7404267349306
 7957377 4727  80 2.812 0.007  0.19 0.15 1.62 0.08  8.26 0.15 1.50 0.07  7.96 0.15 1.64 0.08  8.34  0.15 1 290.8887178526873 +43.7724245027396
 7957671 4618  80 2.643 0.008 -0.26 0.15 1.15 0.07  8.48 0.18 1.00 0.06  7.89 0.16 1.13 0.07  8.38  0.18 1 290.9890391440812 +43.7476994315618
 7957822 4823  80 2.374 0.010 -0.23 0.15 0.92 0.08 10.35 0.37 0.86 0.08 10.01 0.35 0.92 0.08 10.35  0.37 2 291.0370336547509 +43.7315321582380
 7957918 4833  80 2.834 0.007 -0.04 0.15 1.60 0.08  8.02 0.15 1.49 0.07  7.74 0.14 1.62 0.08  8.07  0.15 1 291.0693819221183 +43.7325753733422
 7958219 5207 162 2.495 0.016 -0.34 0.30 1.79 0.21 12.52 0.51 1.78 0.21 12.49 0.51 1.84 0.21 12.71  0.52 2 291.1792027839159 +43.7406294517517
 7958409 4935 172 2.703 0.010 -0.32 0.30 1.27 0.09  8.32 0.21 1.19 0.08  8.04 0.20 1.29 0.09  8.39  0.21 1 291.2424242971471 +43.7764010868578
 7958552 5067  80 3.001 0.006 -0.39 0.15 1.31 0.06  5.99 0.11 1.26 0.06  5.88 0.11 1.34 0.07  6.06  0.11 1 291.2940872527288 +43.7165917832133
 7959473 5052 162 2.467 0.009 -0.77 0.30 1.16 0.08 10.42 0.27 1.09 0.07 10.09 0.26 1.20 0.08 10.58  0.27 1 291.5965500707075 +43.7022830436258
 7960031 4590  80 2.264 0.012  0.23 0.15 1.35 0.14 14.21 0.61 1.22 0.13 13.52 0.57 1.36 0.14 14.26  0.61 2 291.8053542675822 +43.7673838300273
 7960136 4821  80 2.412 0.008 -0.18 0.15 1.03 0.07 10.47 0.27 0.96 0.06 10.10 0.26 1.03 0.07 10.48  0.27 2 291.8471134630674 +43.7959979738873
 7966651 4804 151 2.682 0.009  0.24 0.30 1.43 0.10  9.02 0.22 1.36 0.09  8.81 0.21 1.44 0.10  9.07  0.22 1 294.1216929144125 +43.7978067490803
 7966666 4906 159 2.397 0.013  0.43 0.30 0.79 0.12  9.32 0.66 0.84 0.13  9.60 0.68 0.78 0.12  9.25  0.65 2 294.1285146657575 +43.7335777859187
 7966710 5042 168 2.495 0.018  0.13 0.30 1.54 0.21 11.62 0.61 1.54 0.21 11.62 0.61 1.56 0.22 11.71  0.62 2 294.1469124248359 +43.7777747923455
 7967256 5277 174 2.719 0.011 -0.05 0.30 2.55 0.22 11.55 0.36 2.74 0.23 11.99 0.37 2.67 0.23 11.83  0.37 2 294.3285299751086 +43.7775602070564
 7967318 5063  80 3.000 0.012  0.02 0.15 2.11 0.19  7.61 0.24 2.11 0.19  7.60 0.24 2.19 0.20  7.74  0.24 1 294.3498083541828 +43.7288650398200
 7967516 4588  80 2.447 0.010  0.33 0.15 1.47 0.13 11.98 0.43 1.34 0.12 11.44 0.40 1.48 0.13 12.02  0.43 2 294.4166968531415 +43.7062211516707
 7967534 4721  80 2.374 0.013  0.21 0.15 0.82 0.13  9.75 0.67 0.83 0.13  9.78 0.68 0.83 0.13  9.79  0.68 2 294.4238385120562 +43.7242231727094
 7967873 4966 154 2.413 0.012  0.11 0.30 1.26 0.12 11.56 0.39 1.26 0.12 11.55 0.39 1.27 0.12 11.61  0.39 2 294.5372395910105 +43.7037138807556
 7967885 4992 155 2.432 0.016  0.02 0.30 1.30 0.15 11.46 0.47 1.29 0.15 11.43 0.46 1.31 0.15 11.52  0.47 2 294.5414899338486 +43.7121552212173
 7967898 4912 154 2.450 0.021  0.33 0.30 1.42 0.21 11.75 0.60 1.40 0.21 11.68 0.60 1.42 0.21 11.78  0.60 2 294.5456319389254 +43.7638811758806
 7967974 5121 160 2.670 0.009 -0.29 0.30 1.74 0.12 10.10 0.24 1.70 0.12  9.97 0.24 1.79 0.12 10.24  0.25 1 294.5650922507071 +43.7657076568069
 7968120 4931  80 2.482 0.008 -0.19 0.15 1.24 0.10 10.60 0.34 1.18 0.09 10.33 0.33 1.26 0.10 10.65  0.34 2 294.6069096176079 +43.7449721061680
 7968517 4907 162 2.403 0.020  0.17 0.30 1.31 0.19 11.91 0.60 1.29 0.18 11.81 0.59 1.32 0.19 11.97  0.60 2 294.7358963982762 +43.7820651784519
 7968916 5264 170 3.169 0.018  0.03 0.30 2.65 0.34  7.02 0.31 2.88 0.37  7.31 0.32 2.77 0.36  7.17  0.32 1 294.8692437169771 +43.7685214716669
 7969053 5041 154 3.025 0.008 -0.01 0.30 1.36 0.08  5.92 0.13 1.35 0.08  5.92 0.13 1.37 0.09  5.96  0.13 1 294.9137772588877 +43.7066314737649
 7969433 5062 160 3.267 0.009  0.11 0.30 1.45 0.10  4.64 0.11 1.46 0.10  4.66 0.11 1.47 0.10  4.67  0.11 1 295.0281360515120 +43.7901294778383
 7969504 4918 153 2.310 0.009 -0.50 0.30 1.14 0.08 12.38 0.32 1.04 0.07 11.84 0.30 1.15 0.08 12.46  0.32 2 295.0521335391017 +43.7427160745264
 7970014 4903 151 2.414 0.013  0.12 0.30 1.22 0.12 11.34 0.39 1.20 0.12 11.25 0.38 1.22 0.12 11.38  0.39 2 295.2144032205631 +43.7157063979114
 7970207 4614  80 2.592 0.007 -0.29 0.15 1.14 0.06  8.95 0.17 0.99 0.05  8.32 0.16 1.11 0.06  8.83  0.17 1 295.2824035222571 +43.7209779351572
 7970227 4724 146 2.418 0.010  0.34 0.30 1.46 0.15 12.38 0.58 1.38 0.14 12.01 0.55 1.47 0.16 12.42  0.58 2 295.2893117173959 +43.7247866043975
 7970248 4973 157 2.404 0.012 -0.13 0.30 1.78 0.19 13.85 0.61 1.69 0.18 13.52 0.59 1.82 0.20 14.02  0.62 2 295.2952577948630 +43.7082910269527
 7970619 4784  80 2.595 0.007 -0.13 0.15 1.36 0.07  9.75 0.20 1.24 0.07  9.31 0.19 1.38 0.07  9.79  0.20 1 295.4005961413436 +43.7501293947340
 7970686 5048 163 2.431 0.013 -0.22 0.30 1.09 0.32 10.53 1.52 1.09 0.32 10.53 1.52 1.10 0.33 10.56  1.53 2 295.4189273380492 +43.7331568120476
 7970844 4564  80 2.720 0.007  0.26 0.15 1.22 0.07  7.99 0.16 1.10 0.06  7.59 0.15 1.22 0.07  8.00  0.17 1 295.4731622006713 +43.7627205812942
 7971070 4733 136 2.391 0.013  0.06 0.30 1.24 0.18 11.76 0.78 1.15 0.17 11.31 0.73 1.25 0.18 11.80  0.78 2 295.5447459926775 +43.7020304096800
 7971193 5079 177 2.989 0.010 -0.10 0.30 0.95 0.07  5.17 0.13 0.99 0.07  5.27 0.13 0.95 0.07  5.17  0.13 1 295.5801853363538 +43.7262610148125
 7971558 5176 164 2.380 0.015 -0.10 0.30 3.24 0.39 19.24 0.88 3.59 0.43 20.25 0.94 3.74 0.45 20.66  0.96 2 295.6900070153891 +43.7246236540081
 7971830 5081 161 2.422 0.014 -0.35 0.30 1.01 0.11 10.22 0.43 1.01 0.11 10.24 0.43 1.02 0.11 10.28  0.44 2 295.7653517213519 +43.7216343867689
 7971877 4899 150 2.461 0.011 -0.04 0.30 1.52 0.15 12.01 0.47 1.44 0.14 11.70 0.45 1.54 0.15 12.09  0.47 2 295.7797687610712 +43.7260793542495
 7971893 5063 167 2.379 0.010 -0.10 0.30 0.96 0.19 10.52 0.98 1.00 0.19 10.70 1.00 0.96 0.19 10.52  0.98 2 295.7857220721904 +43.7757684787044
 7971906 5024 148 2.391 0.015 -0.62 0.30 0.76 0.10  9.18 0.52 0.75 0.10  9.13 0.52 0.79 0.11  9.39  0.54 2 295.7897182690564 +43.7045655939506
 7971999 5109 155 2.404 0.011 -0.56 0.30 0.69 0.10  8.66 0.55 0.72 0.10  8.85 0.57 0.73 0.10  8.89  0.57 2 295.8170537196631 +43.7220033798097
 7973002 4396 153 1.735 0.013 -0.38 0.30 1.63 0.20 28.65 1.52 1.46 0.18 27.11 1.41 1.59 0.20 28.31  1.50 0 296.1101362978615 +43.7336956907463
 7973055 5078 153 2.532 0.010 -0.19 0.30 1.60 0.12 11.34 0.30 1.56 0.12 11.19 0.30 1.64 0.12 11.48  0.31 2 296.1260222960933 +43.7314152113169
 7974230 4997 159 2.545 0.012  0.11 0.30 1.64 0.14 11.32 0.34 1.61 0.13 11.21 0.33 1.67 0.14 11.43  0.34 2 296.4632995415835 +43.7977522098525
 7974439 4382  80 1.818 0.020 -0.20 0.15 1.36 0.21 23.85 1.35 1.19 0.18 22.28 1.25 1.33 0.20 23.53  1.33 1 296.5259668040884 +43.7709811103167
 7974594 4668  80 2.296 0.008 -0.31 0.15 1.58 0.10 14.83 0.34 1.40 0.09 13.94 0.32 1.56 0.10 14.71  0.34 1 296.5753576053828 +43.7404236294614
 7974679 5003 142 2.738 0.010 -0.30 0.30 2.19 0.17 10.48 0.30 2.11 0.16 10.27 0.29 2.25 0.17 10.62  0.30 2 296.5987518722935 +43.7620029316396
 7974797 5100 159 2.971 0.010 -0.34 0.30 1.63 0.11  6.91 0.17 1.57 0.11  6.79 0.17 1.67 0.12  7.01  0.17 1 296.6365944233292 +43.7996053739106
 7975176 5026 167 2.973 0.009 -0.39 0.30 1.61 0.11  6.85 0.16 1.52 0.10  6.66 0.16 1.66 0.11  6.95  0.17 1 296.749110 +43.755219
 7975276 4772  80 2.849 0.007  0.11 0.15 1.50 0.07  7.64 0.14 1.40 0.07  7.38 0.13 1.52 0.08  7.69  0.14 1 296.7794113694521 +43.7408766579157
 7975617 4823 148 2.412 0.011 -0.12 0.30 1.02 0.09 10.41 0.34 0.96 0.08 10.13 0.33 1.02 0.09 10.43  0.34 2 296.8648264839000 +43.7658110508469
 7975636 4871 157 2.507 0.010 -0.37 0.30 1.51 0.12 11.35 0.35 1.37 0.11 10.81 0.33 1.53 0.12 11.41  0.35 2 296.8719933728515 +43.7459592675964
 7975647 4911  80 2.932 0.007 -0.11 0.15 1.58 0.08  7.10 0.14 1.48 0.08  6.90 0.13 1.60 0.08  7.17  0.14 1 296.8763156685071 +43.7409764888822
 7975969 4775  80 2.461 0.009  0.00 0.15 1.31 0.10 11.13 0.34 1.21 0.09 10.72 0.33 1.32 0.10 11.19  0.34 2 296.9699054705545 +43.7682215369460
 7976006 4946  80 2.970 0.006 -0.09 0.15 1.66 0.08  6.99 0.12 1.58 0.08  6.82 0.12 1.70 0.08  7.06  0.13 1 296.9779635930162 +43.7084103116366
 7976420 4909  80 2.567 0.010  0.12 0.15 1.56 0.12 10.78 0.29 1.50 0.11 10.58 0.28 1.59 0.12 10.86  0.29 2 297.0924065378761 +43.7527032842355
 7976572 4787 150 2.398 0.009 -0.73 0.30 1.21 0.08 11.51 0.29 1.03 0.07 10.65 0.26 1.16 0.08 11.27  0.28 1 297.1270790224442 +43.7570080875858
 7976619 4967  80 2.848 0.008  0.15 0.15 2.20 0.13  9.25 0.21 2.17 0.13  9.19 0.21 2.26 0.13  9.36  0.21 2 297.1378815219108 +43.7683725115371
 7976673 5065 159 3.211 0.008  0.00 0.30 1.28 0.08  4.64 0.10 1.30 0.08  4.68 0.10 1.29 0.08  4.67  0.10 1 297.1527974887277 +43.7592303623722
 7976731 4968 168 2.461 0.009 -0.99 0.30 1.09 0.08 10.17 0.26 0.98 0.07  9.64 0.24 1.09 0.08 10.17  0.26 1 297.1668439254746 +43.7116548550314
 7979316 4872  80 2.630 0.009  0.16 0.15 1.88 0.13 10.98 0.27 1.79 0.12 10.73 0.26 1.92 0.13 11.10  0.27 2 297.7582738097149 +43.7473233011376
 7979438 4757 151 2.258 0.012 -0.46 0.30 1.20 0.15 13.47 0.73 1.05 0.13 12.58 0.67 1.17 0.15 13.32  0.72 2 297.788020 +43.701752
 7979468 4704  80 2.672 0.007  0.03 0.15 1.38 0.07  8.98 0.18 1.26 0.07  8.57 0.17 1.39 0.07  9.01  0.18 1 297.7969747053527 +43.7017331299566
